CN100377391C,,授权 | 质押 | 权利转移,,一种复合物、锂离子电池正极材料LiCoO2的改性包覆方法及电池,,,,2004/12/29,2008/3/26,天津国安盟固利新材料科技股份有限公司,,天津国安盟固利新材料科技股份有限公司,,,,,,,
CN100377395C,,未缴年费,,一种纳米复合锂离子电池阴极材料的制备方法,,,,2006/1/19,2008/3/26,同济大学,,同济大学,,,,,,,
CN100379059C,,未缴年费,,一种锂离子电池硅/碳/石墨复合负极材料及其制备方法,,,,2005/10/27,2008/4/2,中国科学院上海硅酸盐研究所,,中国科学院上海硅酸盐研究所,,,,,,,
CN100379060C,,未缴年费,,一种Sc(Ⅲ)掺杂的尖晶石型锰酸锂电池正极材料的制备方法,,,,2004/11/11,2008/4/2,中国科学技术大学,,中国科学技术大学,,,,,,,
CN100379062C,,期限届满,,覆碳含锂粉末及其制造方法,,,,2003/6/19,2008/4/2,尤米科尔股份公司及两合公司 | 法国国家科学研究中心,,尤米科尔股份公司及两合公司 | 法国国家科学研究中心,,,,,,,
CN100380711C,,未缴年费,,锂离子电池的隔板－电极部件及其生产方法和在锂电池中的用途,,,,2003/7/4,2008/4/9,赢创德固赛有限公司,,赢创德固赛有限公司,,,,,,,
CN100380717C,,期限届满 | 权利转移,,用作电池阴极的富镍和富锰四元金属氧化物材料,,,,2000/12/28,2008/4/9,泰克里奥斯有限责任公司,,泰克里奥斯有限责任公司,,,,,,,
CN100380725C,,期限届满,,"电池用的聚合物电解质,嵌入式化合物和电极",,,,1997/10/10,2008/4/9,麻省理工学院,,麻省理工学院,,,,,,,
CN100382214C,,未缴年费,,一种用于超级电容器的复合碳基电极材料及其制备方法,,,,2003/7/3,2008/4/16,中国科学院电工研究所,,中国科学院电工研究所,,,,,,,
CN100383037C,,未缴年费,,一种碳材料/纳米硅复合材料及其制备方法和应用,,,,2006/6/8,2008/4/23,复旦大学,,复旦大学,,,,,,,
CN100383269C,,未缴年费,,一种高容量锡－钴合金锂离子电池负极材料的制备方法,,,,2006/6/12,2008/4/23,北京科技大学,,北京科技大学,,,,,,,
CN100383902C,,未缴年费,,用锂离子电池电极材料作负极的电化学超电容器,,,,2004/11/18,2008/4/23,复旦大学,,复旦大学,,,,,,,
CN100383996C,,未缴年费,,一种具有纳米孔的碳负极材料的制备方法,,,,2005/7/21,2008/4/23,复旦大学,,复旦大学,,,,,,,
CN100384000C,,未缴年费,,以硒化锌薄膜为阳极的薄膜锂离子电池及其制备方法,,,,2006/5/11,2008/4/23,复旦大学,,复旦大学,,,,,,,
CN100384911C,,未缴年费,,一种芳酸酐硫化聚合物的制备方法,,,,2006/5/26,2008/4/30,武汉大学,,武汉大学,,,,,,,
CN100385712C,,授权 | 保全 | 权利转移,,多元金属氧化物、锂离子电池正极材料及其制备方法,,,,2004/10/26,2008/4/30,深圳市比克动力电池有限公司,,深圳市比克动力电池有限公司,,,,,,,
CN100385713C,,未缴年费 | 权利转移,,一种制备磷酸亚铁锂的方法,,,,2005/11/30,2008/4/30,重庆特瑞电池材料股份有限公司,,重庆特瑞电池材料股份有限公司,,,,,,,
CN100385715C,,期限届满 | 许可 | 权利转移,,二次电池的正极活性材料及其制备方法,,,,2002/8/16,2008/4/30,优美科公司,,优美科公司,,,,,,,
CN100385716C,,未缴年费,,锂电池阴极材料及制备方法,,,,2004/6/24,2008/4/30,同济大学,,同济大学,,,,,,,
CN100385718C,,未缴年费,,锂离子电池用锂金属磷化物负极材料及制备方法,,,,2004/6/10,2008/4/30,上海交通大学,,上海交通大学,,,,,,,
CN100385719C,,未缴年费,,锂离子二次电池负极材料及所得电池,,,,2004/6/11,2008/4/30,广东风华新能源股份有限公司,,广东风华新能源股份有限公司,,,,,,,
CN100386377C,,未缴年费,,低温热解聚丙烯腈复合锡基负极材料的制备方法,,,,2006/6/9,2008/5/7,清华大学,,清华大学,,,,,,,
CN100386905C,,未缴年费,,活性碳微球包混金属复合物负极材料的制备方法,,,,2006/5/26,2008/5/7,清华大学,,清华大学,,,,,,,
CN100386906C,,未缴年费,,活性碳微球包覆金属复合物负极材料的制备方法,,,,2006/5/26,2008/5/7,清华大学,,清华大学,,,,,,,
CN100386912C,,授权,,聚酰亚胺基电解质和由其改进的电池,,,,2004/5/12,2008/5/7,瑟利寇公司 | 艾维斯特有限公司,,瑟利寇公司 | 艾维斯特有限公司,,,,,,,
CN100388532C,,未缴年费,,一种锂二次电池的隔膜添加剂及锂二次电池隔膜,,,,2005/9/28,2008/5/14,浙江工业大学,,浙江工业大学,,,,,,,
CN100388535C,,未缴年费,,锂离子二次电池正极材料氟化磷酸钒锂的制备方法,,,,2005/12/19,2008/5/14,南开大学,,南开大学,,,,,,,
CN100389062C,,未缴年费,,一种以磷酸铁制备碳包覆磷酸亚铁锂复合材料的方法,,,,2006/9/7,2008/5/21,上海交通大学,,上海交通大学,,,,,,,
CN100389069C,,未缴年费,,二次球镍锰钴氧化物及其制备方法,,,,2006/6/29,2008/5/21,个旧圣比和实业有限公司,,个旧圣比和实业有限公司,,,,,,,
CN100389230C,,未缴年费 | 许可,,电化学沉积制备形状可控的氧化亚铜微/纳米晶体的方法,,,,2005/12/20,2008/5/21,厦门大学,,厦门大学,,,,,,,
CN100389513C,,未缴年费,,一种球形锰酸锂的制备方法,,,,2004/11/29,2008/5/21,比亚迪股份有限公司,,比亚迪股份有限公司,,,,,,,
CN100389515C,,未缴年费,,磷酸铁锂及其复合金属磷化物的电极材料和制备方法,,,,2005/11/4,2008/5/21,南开大学,,南开大学,,,,,,,
CN100391033C,,未缴年费,,一种锂离子薄膜电池负极及制备方法,,,,2005/7/5,2008/5/28,中国科学技术大学,,中国科学技术大学,,,,,,,
CN100391034C,,未缴年费,,一种锂电池电极材料Li2S/Co纳米复合薄膜及其制备方法,,,,2006/1/12,2008/5/28,复旦大学,,复旦大学,,,,,,,
